display_name,level,memo
シンガポールパビリオン,A,■テーマ: Nature. Nurture. Future. ■体験: 熱帯雨林の緑と先端技術が調和した屋内ガーデン ■Tips: 真昼の暑い時間帯でも涼しく過ごせる癒しスポット ■グルメ: チキンライスやスリングカクテルなど名物料理を提供 ■豆知識: 館内に滝が流れる壮大なエコ建築
スイスパビリオン,A,■テーマ: Cycle of Innovation ■体験: アルプス山脈を模した迷路と滑り台で体感する冒険 ■Tips: 身軽な服装で訪れるとアトラクション満喫 ■グルメ: 濃厚チーズフォンデュやスイスチョコのカフェあり ■豆知識: 出口の巨大滑り台で大人も子どもも大興奮
タイパビリオン,A,■テーマ: Sustainable Smile ■体験: 伝統舞踊ショーと最先端農業技術の融合展示 ■Tips: ショータイムを事前に確認してから入場 ■グルメ: 本場のトムヤムクンやマンゴーデザートが人気 ■豆知識: 黄金の寺院を模した壮麗な外観
ウーマンズ パビリオン in collaboration with Cartier,A,■テーマ: ともに生き、ともに輝く未来へ ■体験: 女性の力が創る未来を映像とアートで体感 ■Tips: 展示中心で回転早め。昼過ぎは比較的ゆったり ■グルメ: 高級感あるラウンジで紅茶やスイーツを提供 ■豆知識: ドバイ万博日本館の組子ファサードを再利用
NTT Pavilion,A,■テーマ: つながる未来 ■体験: ホログラム通信や遠隔ロボ操作を体験できる ■Tips: 短編ショー形式で回転が早い ■グルメ: 最新AI案内ロボが案内するカフェスペースあり ■豆知識: 人間の分身アバター技術を世界初公開
三菱未来館,A,■テーマ: 未来への挑戦 ■体験: AI案内ロボと巡る宇宙船ツアーのシミュレーション ■Tips: 定員制シアターは早めの整理券確保を ■グルメ: テーマに合わせた宇宙食スナックの試食も ■豆知識: 水素エネルギーで動く未来の乗り物展示
よしもと waraii myraii館,A,■テーマ: 笑いの未来 ■体験: 最新技術で漫才に参加できる体験型お笑いステージ ■Tips: 公演スケジュールを要チェック。人気芸人回は要早並び ■グルメ: たこ焼き味ポップコーンなどユニークなおやつも販売 ■豆知識: 吉本新喜劇のセットを再現したフォトスポットあり
ガスパビリオン おばけワンダーランド,A,■テーマ: みんなでワクワク！おばけの世界 ■体験: 炎のマジックや浮遊おばけに驚く体験型お化け屋敷 ■Tips: 子どもも楽しめるライトな怖さ。夕方以降は混みやすい ■グルメ: おばけ綿あめなどユニークなお菓子も販売 ■豆知識: 明治時代のガス灯を展示するコーナーも
いのちの未来,A,■テーマ: 未来の生命 ■体験: 人間そっくりのアンドロイドと対話できる近未来体験 ■Tips: ロボット実演の時間帯に合わせて訪問 ■グルメ: ロボットバリスタが淹れる未来ドリンクを提供 ■豆知識: 石黒浩教授本人そっくりの分身ロボが出迎え
いのちの遊び場 クラゲ館,A,■テーマ: くらげに誘われて ■体験: クラゲの映像と音楽に包まれる癒しの没入空間 ■Tips: 小さな子ども連れにも人気の穏やかな展示 ■グルメ: くらげを模したゼリー飲料で一休みできる ■豆知識: 無数の発光クラゲが漂う幻想的な光景は必見
null^2,A,■テーマ: 鏡像の再発明 ■体験: 自分の身体がデジタル生命体に変容するインタラクティブ体験 ■Tips: 光の演出が際立つ夕方以降の入場がおすすめ ■グルメ: 昆虫由来の未来型ビスケットを試食できる ■豆知識: 落合陽一プロデュースの最先端メディアアート空間
いのちめぐる冒険,A,■テーマ: 生命循環の旅 ■体験: ARゴーグルで体内や生態系を駆け巡る冒険アトラクション ■Tips: 親子で楽しめる迫力演出。午前より午後が比較的空く ■グルメ: 冒険の仲間キャラクターを模したお菓子がもらえる ■豆知識: マクロス監督・河森正治氏ならではの壮大な世界観
カナダパビリオン,B,■テーマ: Diversity by Design ■体験: 雄大な自然とAI技術を融合した360°シアター ■Tips: 上映スケジュールを確認して効率よく鑑賞 ■グルメ: メープルシロップスイーツやアイスワインを楽しめる ■豆知識: カナダ杉を活用した温もりある木造建築
カタールパビリオン,B,■テーマ: 砂漠から未来へ ■体験: 砂漠都市の発展を描く迫力映像と伝統工芸展示 ■Tips: 夕刻のベドウィン音楽ライブに合わせ訪れると◎ ■グルメ: ベドウィンテント風カフェでカルダモンコーヒーを提供 ■豆知識: ダイヤモンド型の近未来建築が光を放つ
オランダパビリオン,B,■テーマ: Grow Your World ■体験: 水と植物が織りなす垂直ガーデンを探検 ■Tips: 荷物はコインロッカーに預けて身軽に巡ろう ■グルメ: ゴーダチーズやストロープワッフルの試食ができる ■豆知識: 風車をイメージした巨大プロペラがシンボル
ベルギーパビリオン,B,■テーマ: Smart & Sweet ■体験: チョコレート3Dプリンター実演や先端科学展示 ■Tips: 午後は混雑するので午前中の訪問がおすすめ ■グルメ: 本場のベルギーワッフルやビールの試飲が可能 ■豆知識: ブリュッセル万博のアトミウムを模したオブジェあり
ポーランドパビリオン,B,■テーマ: Nature & Music ■体験: 木製インスタレーションとショパンの調べに癒される空間 ■Tips: 生演奏タイムは座席確保を早めに ■グルメ: ジャガイモピエロギやハチミツ酒の屋台も楽しめる ■豆知識: ポーランド伝統の切り絵装飾が館内を彩る
チェコパビリオン,B,■テーマ: 水から生まれる未来 ■体体験: 空気から水を生み出す魔法のガジェットを展示 ■Tips: 水生成デモの時間に合わせて訪れるとより楽しめる ■グルメ: チェコ産ピルスナービールとプレッツェルが味わえる ■豆知識: 世界最大級の大気水生成装置の動態展示は圧巻
オーストリアパビリオン,B,■テーマ: Composing the Future ■体験: 音楽で未来を描くインタラクティブ展示やライブ演奏 ■Tips: 館内コンサートの時間帯に合わせて訪問すると◎ ■グルメ: ウィーン風カフェでザッハトルテとコーヒーが味わえる ■豆知識: 渦巻き状のオブジェが音楽の旋律を表現
アゼルバイジャンパビリオン,B,■テーマ: Heritage Meets Innovation ■体験: コーカサスの自然美と最新技術を融合したシアター ■Tips: 内部は涼しく、休憩がてら訪れるのも◎ ■グルメ: ザクロジュースや串焼きシャシリクが味わえる ■豆知識: 世界遺産のカーペット柄をあしらった華麗な内装
コロンビアパビリオン,B,■テーマ: 生命躍動 ■体験: 熱帯雨林の映像とコーヒーの香りに包まれる体験 ■Tips: 館内で踊るサンバショーは必見 ■グルメ: 名産コーヒーの試飲やアレパの屋台が人気 ■豆知識: カラフルな巨大オウムのオブジェがシンボル
インドネシアパビリオン,B,■テーマ: Nusantara Vibrance ■体験: 島々の文化と先端映像が融合した360度シアター ■Tips: 民族舞踊ショーの時間帯は混雑するので早めに ■グルメ: ナシゴレンやサテなどインドネシア料理を提供 ■豆知識: 外壁にバティック模様をあしらった南国風デザイン
フィリピンパビリオン,B,■テーマ: Diversity of Waters ■体験: サンゴ礁をイメージした空間で島国の物語を体験 ■Tips: 夕方の音楽ライブは南国ムード満点 ■グルメ: 名物バナナ春巻きやマンゴージュースが楽しめる ■豆知識: 伝統船バンカを模した天井装飾が圧巻
住友館,B,■テーマ: 資源が織りなす未来 ■体験: 鉱石が未来のエネルギーに変わる迫力ショー ■Tips: 入館時に配布されるヘルメットを着用して楽しむ ■グルメ: オリジナルの鉱石キャンディをプレゼント ■豆知識: 住友財閥の歴史を映像で振り返るコーナーあり
大阪ヘルスケアパビリオン Nest for Reborn,B,■テーマ: 未来医療のゆりかご ■体験: 最新の再生医療や健康テックを体験できる展示 ■Tips: 血管年齢測定など無料測定イベントに参加しよう ■グルメ: 栄養バランス重視のお弁当やスムージーを提供 ■豆知識: 大阪発の医療イノベーション事例を多数紹介
ORA外食パビリオン『宴～UTAGE～』,B,■テーマ: 食のエンターテインメント ■体験: シェフの実演とプロジェクションで織りなすグルメショー ■Tips: 昼時は混雑必至。時間に余裕を持って訪問を ■グルメ: 大阪名物たこ焼きから世界各国の料理まで勢揃い ■豆知識: 巨大な鍋型スクリーンで料理映像演出が圧巻
Better Co-Being,B,■テーマ: 共生のデザイン ■体験: 多様な命のつながりを体感する没入型インスタレーション ■Tips: 静かに鑑賞できる午前中が狙い目 ■グルメ: オーガニックハーブティーのサービスで一息 ■豆知識: 来場者の動きで映像が変化するインタラクティブ演出
いのち動的平衡館,B,■テーマ: 生命のバランス ■体験: 顕微鏡映像や培養アートで生命の不思議を実感 ■Tips: 解説をじっくり読みたいなら閉館前の空き時間がおすすめ ■グルメ: 発酵食品を通じて腸内細菌の働きを学べるコーナーあり ■豆知識: 細胞の動きをリアルタイムで映し出す大型スクリーンが圧巻
EARTH MART,B,■テーマ: 未来の市場 ■体験: 未来の食材や商品が並ぶ体験型マーケット展示 ■Tips: 商品棚をじっくり見るなら午前中が比較的空いている ■グルメ: 昆虫食チップスや培養肉バーガーなど試食ができる ■豆知識: 買い物気分でSDGsを学べるユニークな演出
Dialogue Theater – いのちのあかし –,B,■テーマ: 生命への讃歌 ■体験: 命の物語を描く映像シアターで心揺さぶる体験 ■Tips: 上映開始時間を確認して着席しよう ■グルメ: 鑑賞後にハーブティーの無料サービスでクールダウン ■豆知識: 河瀨直美監督による魂に響く映像美は必見
北欧館（アイスランド）,B,■テーマ: 北欧の英知 ■体験: 北欧5か国が共創するサステナ展示と自然体験 ■Tips: 比較的回転が速く、隙間時間に立ち寄りやすい ■グルメ: シナモンロールやサーモンスープなど北欧グルメを提供 ■豆知識: 氷と炎の国アイスランドの火山映像は迫力
北欧館（スウェーデン王国）,B,■テーマ: 北欧の英知 ■体験: 北欧5か国が共創するサステナ展示と自然体験 ■Tips: 比較的回転が速く、隙間時間に立ち寄りやすい ■グルメ: シナモンロールやサーモンスープなど北欧グルメを提供 ■豆知識: 森と福祉の国スウェーデンの家具展示も
北欧館（デンマーク王国）,B,■テーマ: 北欧の英知 ■体験: 北欧5か国が共創するサステナ展示と自然体験 ■Tips: 比較的回転が速く、隙間時間に立ち寄りやすい ■グルメ: シナモンロールやサーモンスープなど北欧グルメを提供 ■豆知識: 自転車先進国デンマークの街並み模型展示も
北欧館（ノルウェー王国）,B,■テーマ: 北欧の英知 ■体験: 北欧5か国が共創するサステナ展示と自然体験 ■Tips: 比較的回転が速く、隙間時間に立ち寄りやすい ■グルメ: シナモンロールやサーモンスープなど北欧グルメを提供 ■豆知識: フィヨルドを擁するノルウェーの自然映像も
北欧館（フィンランド共和国）,B,■テーマ: 北欧の英知 ■体験: 北欧5か国が共創するサステナ展示と自然体験 ■Tips: 比較的回転が速く、隙間時間に立ち寄りやすい ■グルメ: シナモンロールやサーモンスープなど北欧グルメを提供 ■豆知識: 教育先進国フィンランドのデジタル教材体験も
アイルランドパビリオン,C,■テーマ: 自由と伝統の調和 ■体験: 音楽と文学をテーマにした穏やかな展示 ■Tips: 比較的空いておりゆっくり見学可能 ■グルメ: ギネスビールやアイリッシュウイスキーを提供 ■豆知識: 伝統楽器の生演奏が館内BGMに
クウェートパビリオン,C,■テーマ: 光る砂漠の未来 ■体験: 砂漠緑化や石油から未来エネルギーへの変革展示 ■Tips: 待ち時間少なく穴場スポット ■グルメ: 甘いデーツ菓子とアラビックコーヒーでもてなし ■豆知識: 帆船ダウ船の模型が海洋国家の歴史を伝える
オマーンパビリオン,C,■テーマ: 香る砂海 ■体験: 乳香の香りただよう市場風展示でオマーンの魅力紹介 ■Tips: 人が少なくリラックスできる空間 ■グルメ: デーツやナツメ茶の試飲サービスあり ■豆知識: アラビアンナイトの城塞を思わせる外観
ウズベキスタンパビリオン,C,■テーマ: シルクロードの継承 ■体験: 青の都サマルカンドを彷彿とさせる歴史展示と現代技術紹介 ■Tips: 東洋の雰囲気漂う穴場パビリオン ■グルメ: ピラフ料理プロフや緑茶の試食が楽しめる ■豆知識: ウズベク刺繍スザニの美しい柄が展示を彩る
バーレーンパビリオン,C,■テーマ: Pearl of the Gulf ■体験: 真珠の歴史と未来都市計画の展示 ■Tips: 比較的スムーズに入場できる ■グルメ: バーレーンの伝統スイーツ・ハルワを試食できる ■豆知識: 真珠をモチーフにしたドーム天井が美しい
ハンガリーパビリオン,C,■テーマ: 生命の水 ■体験: 温泉と水資源の国ならではの癒しの演出 ■Tips: 待ち時間少なくゆったり回れる ■グルメ: ハンガリー産蜂蜜やトカイワインを試飲 ■豆知識: リスト音楽が流れる落ち着いた雰囲気
ブルガリアパビリオン,C,■テーマ: 薔薇の香る未来 ■体験: バラの花に囲まれた芳香空間で癒される展示 ■Tips: 比較的空いており五感で楽しめる ■グルメ: ローズジャムやヨーグルトドリンクを試せる ■豆知識: ブルガリアのバラ祭りの映像上映も
ポルトガルパビリオン,C,■テーマ: 航海から未来へ ■体験: 大航海時代の精神と最新イノベーションの展示 ■Tips: ゆったりと見学できる ■グルメ: ポートワインやエッグタルトの試食コーナーあり ■豆知識: 船の帆を模した布製ファサードが目を引く
マレーシアパビリオン,C,■テーマ: 熱帯からの未来 ■体験: 熱帯雨林の香りと共に環境技術を紹介する展示 ■Tips: 午後は比較的空いていて涼みに最適 ■グルメ: トロピカルフルーツジュースの試飲サービスあり ■豆知識: 木々に囲まれた緑豊かなパビリオンは癒し空間
モナコパビリオン,D,■テーマ: 海と共に生きる公国 ■体験: 小規模ながら海洋保護の取り組みを紹介 ■Tips: 待ち時間ほぼなしで入場可 ■グルメ: モナコワインの試飲ができる ■豆知識: グレース公妃の写真展示も
マルタパビリオン,D,■テーマ: 地中海の宝石 ■体験: 世界遺産都市や騎士団の歴史紹介の小展示 ■Tips: 常時空いていて気軽に立ち寄れる ■グルメ: マルタ伝統菓子カンノーリの試食あり ■豆知識: 騎士団の甲冑レプリカ展示が目を引く
ルクセンブルクパビリオン,C,■テーマ: 小さな巨人の挑戦 ■体験: 金融先端技術と豊かな文化を紹介するコンパクト展示 ■Tips: 待ち時間少なく見学しやすい ■グルメ: 高級チョコレートの試食サービスあり ■豆知識: 宙に浮く未来都市模型が展示の目玉
EUパビリオン,C,■テーマ: Unity in Diversity ■体験: 欧州連合の環境・技術プロジェクトを紹介 ■Tips: 常設展示中心で待ち時間少なめ ■グルメ: EU加盟国のお菓子を日替わりで試食提供 ■豆知識: ヨーロッパ各国の文化紹介映像を一挙上映
国連パビリオン,C,■テーマ: SDGsの未来 ■体験: 持続可能な開発目標を体験的に学べる展示 ■Tips: 混雑は少なく短時間で回れる ■グルメ: 各国の飢餓問題にちなみ簡易ビスケットの配布あり ■豆知識: 17色のSDGsアイコンが彩るカラフルな内装
関西パビリオン,C,■テーマ: 関西の力 ■体験: 関西2府5県の見どころと未来技術を紹介 ■Tips: 地方色豊かな展示で比較的空いている ■グルメ: 各地域の特産品スイーツの試食が楽しめる ■豆知識: 関西の祭りをVR体験できるコーナーも
PASONA NATUREVERSE,C,■テーマ: 未来の農園 ■体験: 都会に広がる未来の大農園を再現した緑豊かな空間 ■Tips: 入場スムーズで癒しスポットとしても◎ ■グルメ: 水耕野菜サラダバーの試食体験ができる ■豆知識: 植物とITが融合した次世代農業に驚き
BLUE OCEAN DOME （ブルーオーシャン・ドーム）,C,■テーマ: 青い地球を守れ ■体験: 海洋生物の映像が360°に広がるドームシアター ■Tips: 比較的待たずに入場できる ■グルメ: 海藻スナックの試食で海の恵みを実感 ■豆知識: 子どもも楽しめる海のクイズラリーあり
TECH WORLD,D,■テーマ: 未来ガレージ ■体験: 関西発ベンチャーの技術デモを展示 ■Tips: 待ち時間ゼロで気軽に入場可 ■グルメ: ガジェットデザインのお菓子を配布 ■豆知識: 最新ドローンの実機展示も
飯田グループ×大阪公立大学共同出展館,D,■テーマ: 未来の住まい ■体験: 次世代住宅技術や学生アイデアを紹介 ■Tips: 空いていて休憩がてらのぞける ■グルメ: 最新住宅模型のパンフレット配布 ■豆知識: 学生プロジェクト展示がフレッシュ
国際赤十字・赤新月運動館,D,■テーマ: 人道の歴史 ■体験: 災害救援の歴史資料やVR救助体験 ■Tips: 並ばず入れる穴場パビリオン ■グルメ: 非常食ビスケットの試供品配布あり ■豆知識: 世界各地の救援活動写真が展示
バチカンパビリオン,C,■テーマ: 祈りと未来 ■体験: ローマ教皇庁による人類へのメッセージ展示 ■Tips: イタリア館内に併設されスムーズに見学可 ■グルメ: バチカン発行記念コインの配布あり ■豆知識: ミケランジェロの複製壁画など貴重な展示
トルクメニスタンパビリオン,C,■テーマ: 砂漠の黄金 ■体験: 世界最古級のオアシス文明とガス資源の紹介展示 ■Tips: 比較的空いていてゆったり鑑賞可能 ■グルメ: 特産メロンのドライフルーツを試食提供 ■豆知識: 黄金のアハルテケ馬像が来場者を出迎え
電力館 可能性のタマゴたち,C,■テーマ: エナジーのたまご ■体験: 未来のエネルギーを遊び感覚で学べる体験ゾーン ■Tips: 親子連れでも待ち時間少なく楽しめる ■グルメ: 発電自転車チャレンジで景品のお菓子ゲット ■豆知識: 電気の不思議を体験する工作教室も開催
